Date,ABBIGERE,AGARA,AKSHAYANAGARA,ALLALASANDRA
08-12-2011,2609,849,2833,2690
09-12-2011,2618,858,2823,2683
10-12-2011,2627,865,2813,2690
11-12-2011,2633,862,2801,2685
12-12-2011,2639,861,2788,2678
13-12-2011,2645,861,2775,2671
14-12-2011,2648,861,2762,2660
15-12-2011,2645,867,2755,2653
16-12-2011,2666,871,2749,2670
17-12-2011,2669,871,2736,2670
18-12-2011,2666,871,2722,2663
19-12-2011,2666,871,2707,2656
20-12-2011,2666,871,2692,2648
21-12-2011,2666,871,2678,2641
22-12-2011,2666,869,2667,2634
23-12-2011,2663,867,2655,2625
24-12-2011,2660,864,2644,2616
25-12-2011,2657,861,2632,2607
26-12-2011,2654,856,2620,2601
27-12-2011,2648,852,2607,2592
28-12-2011,2645,848,2593,2583
29-12-2011,2642,844,2579,2574
30-12-2011,2669,852,2595,2591
31-12-2011,2770,855,2636,2751
01-01-2012,2839,855,2632,2825
02-01-2012,2928,859,2632,2866
03-01-2012,2982,881,2642,2897
04-01-2012,3015,881,2652,2916
05-01-2012,3045,865,2659,2929
06-01-2012,3058,851,2671,2937
07-01-2012,3069,837,2676,2942
08-01-2012,3081,823,2682,2942
09-01-2012,3090,809,2688,2931
10-01-2012,3093,795,2694,2920
11-01-2012,3095,781,2701,2910
12-01-2012,3098,767,2716,2900
13-01-2012,3098,751,2728,2889
14-01-2012,3098,734,2739,2879
15-01-2012,3098,717,2745,2869
16-01-2012,3098,700,2751,2859
17-01-2012,3098,682,2757,2849
18-01-2012,3098,665,2763,2839
19-01-2012,3095,646,2769,2829
20-01-2012,3095,625,2776,2819
21-01-2012,3093,605,2782,2809
22-01-2012,3090,586,2790,2799
23-01-2012,3090,569,2796,2789
24-01-2012,3087,561,2794,2779
25-01-2012,3085,553,2792,2769
26-01-2012,3081,546,2790,2759
27-01-2012,3077,538,2788,2749
28-01-2012,3073,529,2784,2739
29-01-2012,3064,520,2780,2729
30-01-2012,3058,511,2775,2719
31-01-2012,3054,503,2773,2729
01-02-2012,3048,495,2771,2719
02-02-2012,3041,490,2769,2709
03-02-2012,3038,486,2763,2698
04-02-2012,3031,480,2755,2686
